"FullPath","ParentFolder","Name","Type","Extension","Length","CreationTime","LastWriteTime"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets\mayflower.json","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets","mayflower.json","File",".json","53275","10-Feb-25 14:16:50","10-Feb-25 14:18:59"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets\military_aus.json","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets","military_aus.json","File",".json","7141","07-Feb-25 07:37:15","07-Feb-25 07:38:18"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets\military_can.json","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets","military_can.json","File",".json","7135","07-Feb-25 07:38:25","07-Feb-25 07:38:57"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets\military_germ.json","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets","military_germ.json","File",".json","7936","07-Feb-25 07:39:03","07-Feb-25 07:42:03"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets\military_rank_standardization.json","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets","military_rank_standardization.json","File",".json","80377","06-Feb-25 16:33:34","11-Feb-25 19:20:44"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets\military_uk.json","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets","military_uk.json","File",".json","9756","07-Feb-25 07:28:14","07-Feb-25 07:37:33"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets\military_us_normalization.json","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets","military_us_normalization.json","File",".json","34558","07-Feb-25 07:42:10","07-Feb-25 13:59:42"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets\name_normalization.json","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets","name_normalization.json","File",".json","2927","30-Jan-25 17:28:09","10-Feb-25 10:27:43"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets\name_prefixes.json","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets","name_prefixes.json","File",".json","7180","06-Feb-25 16:28:06","09-Feb-25 20:28:48"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets\name_variants.json","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets","name_variants.json","File",".json","2630","09-Feb-25 16:01:17","09-Feb-25 17:08:46"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets\new_england.json","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets","new_england.json","File",".json","8166","07-Feb-25 15:57:19","09-Feb-25 19:36:33"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets\nicknames.json","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets","nicknames.json","File",".json","1209","09-Feb-25 17:20:13","09-Feb-25 19:09:36"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets\npfx_standardization.json","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets","npfx_standardization.json","File",".json","2173","07-Feb-25 14:22:07","11-Feb-25 21:00:37"
